Method,Clusters,Largest Cluster,Smallest Cluster,Silhouette,Calinski-Harabasz,Davies-Bouldin,ARI Stability
KMeans,5,13521,3100,0.5996632738204252,14901.759216021163,0.9685888975642631,0.9994977622230373
Hierarchical,5,14869,3323,0.5437101011613424,10924.688229965268,1.0725588553596286,
