Representation,Method,Clusters,Largest Cluster,Smallest Cluster,Silhouette,Calinski-Harabasz,Davies-Bouldin,ARI Stability
Binary,KMeans,5,14717,2708,0.5249812306957792,10447.465120548735,1.297222089091211,0.9530036108082373
Binary,Hierarchical,5,12610,3460,0.5009004251748064,6710.629590623977,1.6959341253620497,
Count,KMeans,5,13171,2816,0.5637644283230415,13792.314908954619,1.0741928409058954,0.9801556733190149
Count,Hierarchical,5,12932,617,0.5390015015396494,11664.484095378653,1.0583251447252113,
