Representation,Method,Chi-square p,Cluster,Cluster Size (ACRs),Shannon Diversity Index,Top Function 1,Top 1 (%),Top Function 2,Top 2 (%),Top Function 3,Top 3 (%)
interval_count_1gram_tfidf,KMeans,<0.001,1,4539,1.202,Chromatin & Development,67.55,Multifunctional DOF Regulation,27.85,Vascular Development,1.78
interval_count_1gram_tfidf,KMeans,<0.001,2,5067,0.702,Multifunctional DOF Regulation,86.36,Chromatin & Development,11.63,Inflorescence Development,0.74
interval_count_1gram_tfidf,KMeans,<0.001,3,4747,1.259,Multifunctional DOF Regulation,72.3,Chromatin & Development,15.83,Vascular Development,9.47
interval_count_1gram_tfidf,KMeans,<0.001,4,3188,1.261,Chromatin & Development,64.45,Multifunctional DOF Regulation,30.53,Vascular Development,1.73
interval_count_1gram_tfidf,Hierarchical,<0.001,0,6210,1.63,Multifunctional DOF Regulation,58.76,Chromatin & Development,23.95,Vascular Development,9.71
interval_count_1gram_tfidf,Hierarchical,<0.001,1,4140,0.972,Chromatin & Development,60.59,Multifunctional DOF Regulation,39.37,Inflorescence Development,0.03
interval_count_1gram_tfidf,Hierarchical,<0.001,2,4049,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
interval_count_1gram_tfidf,Hierarchical,<0.001,3,13214,2.769,Multifunctional DOF Regulation,36.15,Chromatin & Development,25.66,Telomere Regulation,9.75
interval_count_1gram_tfidf,Hierarchical,<0.001,4,3682,0.963,Chromatin & Development,61.94,Multifunctional DOF Regulation,38.02,Circadian & Flowering,0.03
interval_count_2gram_tfidf,KMeans,<0.001,0,24547,1.79,Multifunctional DOF Regulation,52.94,Chromatin & Development,32.52,Vascular Development,6.13
interval_count_2gram_tfidf,KMeans,<0.001,1,1632,0.79,Multifunctional DOF Regulation,83.68,Chromatin & Development,13.64,Vascular Development,1.59
interval_count_2gram_tfidf,KMeans,<0.001,2,1315,0.736,Multifunctional DOF Regulation,85.96,Chromatin & Development,11.48,Vascular Development,1.22
interval_count_2gram_tfidf,KMeans,<0.001,3,1671,1.131,Chromatin & Development,67.33,Multifunctional DOF Regulation,29.3,Vascular Development,1.84
interval_count_2gram_tfidf,KMeans,<0.001,4,2130,1.04,Chromatin & Development,71.04,Multifunctional DOF Regulation,26.37,Vascular Development,1.19
interval_count_2gram_tfidf,Hierarchical,<0.001,0,28420,1.629,Multifunctional DOF Regulation,50.33,Chromatin & Development,39.24,Vascular Development,4.47
interval_count_2gram_tfidf,Hierarchical,<0.001,1,1005,0.455,Multifunctional DOF Regulation,93.04,Chromatin & Development,4.3,Vascular Development,2.3
interval_count_2gram_tfidf,Hierarchical,<0.001,2,705,0.0,Chromatin & Development,100.0,Inflorescence Development,0.0,Circadian & Flowering,0.0
interval_count_2gram_tfidf,Hierarchical,<0.001,3,766,0.237,Multifunctional DOF Regulation,96.55,Chromatin & Development,3.15,Vascular Development,0.15
interval_count_2gram_tfidf,Hierarchical,<0.001,4,399,0.0,Chromatin & Development,100.0,Inflorescence Development,0.0,Circadian & Flowering,0.0
interval_count_3gram_tfidf,KMeans,<0.001,0,30396,1.605,Multifunctional DOF Regulation,49.94,Chromatin & Development,40.19,Vascular Development,4.26
interval_count_3gram_tfidf,KMeans,<0.001,1,283,0.593,Multifunctional DOF Regulation,89.49,Chromatin & Development,8.66,Vascular Development,0.84
interval_count_3gram_tfidf,KMeans,<0.001,2,182,1.263,Multifunctional DOF Regulation,51.17,Chromatin & Development,44.87,Vascular Development,2.74
interval_count_3gram_tfidf,KMeans,<0.001,3,87,0.901,Multifunctional DOF Regulation,78.18,Chromatin & Development,19.32,Vascular Development,1.82
interval_count_3gram_tfidf,KMeans,<0.001,4,347,0.716,Multifunctional DOF Regulation,85.48,Chromatin & Development,12.52,Vascular Development,1.06
interval_count_3gram_tfidf,Hierarchical,<0.001,0,30769,1.589,Multifunctional DOF Regulation,50.89,Chromatin & Development,39.51,Vascular Development,4.18
interval_count_3gram_tfidf,Hierarchical,<0.001,1,192,0.124,Multifunctional DOF Regulation,98.54,Chromatin & Development,1.17,Inflorescence Development,0.15
interval_count_3gram_tfidf,Hierarchical,<0.001,2,121,0.435,Multifunctional DOF Regulation,93.97,Chromatin & Development,4.24,Inflorescence Development,0.22
interval_count_3gram_tfidf,Hierarchical,<0.001,3,102,0.918,Chromatin & Development,66.67,Multifunctional DOF Regulation,33.33,Inflorescence Development,0.0
interval_count_3gram_tfidf,Hierarchical,<0.001,4,111,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
interval_count_combined_tfidf,KMeans,<0.001,0,18995,1.95,Multifunctional DOF Regulation,48.32,Chromatin & Development,33.39,Vascular Development,7.75
interval_count_combined_tfidf,KMeans,<0.001,1,4034,0.005,Multifunctional DOF Regulation,99.96,Chromatin & Development,0.04,Inflorescence Development,0.0
interval_count_combined_tfidf,KMeans,<0.001,2,3330,0.941,Chromatin & Development,74.91,Multifunctional DOF Regulation,23.24,Inflorescence Development,0.75
interval_count_combined_tfidf,KMeans,<0.001,3,2751,0.769,Multifunctional DOF Regulation,84.04,Chromatin & Development,13.39,Vascular Development,1.8
interval_count_combined_tfidf,KMeans,<0.001,4,2185,0.875,Chromatin & Development,75.53,Multifunctional DOF Regulation,23.54,Vascular Development,0.47
interval_count_combined_tfidf,Hierarchical,<0.001,0,23727,1.68,Multifunctional DOF Regulation,48.22,Chromatin & Development,40.33,Vascular Development,4.92
interval_count_combined_tfidf,Hierarchical,<0.001,1,3936,0.068,Multifunctional DOF Regulation,99.26,Chromatin & Development,0.66,Vascular Development,0.04
interval_count_combined_tfidf,Hierarchical,<0.001,2,1210,0.0,Chromatin & Development,100.0,Inflorescence Development,0.0,Circadian & Flowering,0.0
interval_count_combined_tfidf,Hierarchical,<0.001,3,1227,0.16,Multifunctional DOF Regulation,97.98,Vascular Development,1.64,Chromatin & Development,0.31
interval_count_combined_tfidf,Hierarchical,<0.001,4,1195,0.0,Chromatin & Development,100.0,Inflorescence Development,0.0,Circadian & Flowering,0.0
interval_binary_1gram_tfidf,KMeans,<0.001,0,13915,3.032,Multifunctional DOF Regulation,33.64,Chromatin & Development,15.52,Inflorescence Development,13.08
interval_binary_1gram_tfidf,KMeans,<0.001,1,4049,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
interval_binary_1gram_tfidf,KMeans,<0.001,2,5712,1.29,Chromatin & Development,59.31,Multifunctional DOF Regulation,35.83,Vascular Development,2.23
interval_binary_1gram_tfidf,KMeans,<0.001,3,3773,1.253,Chromatin & Development,52.24,Multifunctional DOF Regulation,44.27,Inflorescence Development,1.43
interval_binary_1gram_tfidf,KMeans,<0.001,4,3846,1.126,Multifunctional DOF Regulation,76.96,Vascular Development,12.48,Chromatin & Development,8.29
interval_binary_1gram_tfidf,Hierarchical,<0.001,0,3730,1.239,Multifunctional DOF Regulation,67.25,Chromatin & Development,17.23,Vascular Development,15.51
interval_binary_1gram_tfidf,Hierarchical,<0.001,1,3941,0.992,Chromatin & Development,55.13,Multifunctional DOF Regulation,44.87,Inflorescence Development,0.0
interval_binary_1gram_tfidf,Hierarchical,<0.001,2,15704,2.228,Multifunctional DOF Regulation,45.35,Chromatin & Development,30.51,Inflorescence Development,7.7
interval_binary_1gram_tfidf,Hierarchical,<0.001,3,4049,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
interval_binary_1gram_tfidf,Hierarchical,<0.001,4,3871,0.91,Chromatin & Development,67.45,Multifunctional DOF Regulation,32.55,Inflorescence Development,0.0
interval_binary_2gram_tfidf,KMeans,<0.001,0,25167,1.752,Multifunctional DOF Regulation,51.95,Chromatin & Development,34.6,Vascular Development,5.68
interval_binary_2gram_tfidf,KMeans,<0.001,1,1524,0.799,Chromatin & Development,79.52,Multifunctional DOF Regulation,19.54,Vascular Development,0.55
interval_binary_2gram_tfidf,KMeans,<0.001,2,1409,0.666,Multifunctional DOF Regulation,87.12,Chromatin & Development,10.97,Vascular Development,1.08
interval_binary_2gram_tfidf,KMeans,<0.001,3,1412,0.68,Multifunctional DOF Regulation,85.72,Chromatin & Development,12.79,Vascular Development,0.91
interval_binary_2gram_tfidf,KMeans,<0.001,4,1783,1.146,Chromatin & Development,65.53,Multifunctional DOF Regulation,31.17,Vascular Development,1.84
interval_binary_2gram_tfidf,Hierarchical,<0.001,0,28554,1.624,Multifunctional DOF Regulation,50.68,Chromatin & Development,38.99,Vascular Development,4.44
interval_binary_2gram_tfidf,Hierarchical,<0.001,1,931,0.147,Multifunctional DOF Regulation,97.9,Vascular Development,2.1,Inflorescence Development,0.0
interval_binary_2gram_tfidf,Hierarchical,<0.001,2,705,0.0,Chromatin & Development,100.0,Inflorescence Development,0.0,Circadian & Flowering,0.0
interval_binary_2gram_tfidf,Hierarchical,<0.001,3,706,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
interval_binary_2gram_tfidf,Hierarchical,<0.001,4,399,0.0,Chromatin & Development,100.0,Inflorescence Development,0.0,Circadian & Flowering,0.0
interval_binary_3gram_tfidf,KMeans,<0.001,0,30410,1.592,Multifunctional DOF Regulation,53.04,Chromatin & Development,37.09,Vascular Development,4.27
interval_binary_3gram_tfidf,KMeans,<0.001,1,188,1.184,Chromatin & Development,55.8,Multifunctional DOF Regulation,41.24,Vascular Development,1.9
interval_binary_3gram_tfidf,KMeans,<0.001,2,284,1.146,Chromatin & Development,58.19,Multifunctional DOF Regulation,39.65,Vascular Development,1.04
interval_binary_3gram_tfidf,KMeans,<0.001,3,304,1.159,Chromatin & Development,55.18,Multifunctional DOF Regulation,42.78,Vascular Development,0.92
interval_binary_3gram_tfidf,KMeans,<0.001,4,109,1.061,Chromatin & Development,74.0,Multifunctional DOF Regulation,22.17,Vascular Development,2.07
interval_binary_3gram_tfidf,Hierarchical,<0.001,0,30717,1.59,Multifunctional DOF Regulation,51.13,Chromatin & Development,39.24,Vascular Development,4.17
interval_binary_3gram_tfidf,Hierarchical,<0.001,1,228,0.244,Multifunctional DOF Regulation,96.75,Chromatin & Development,1.86,Vascular Development,1.28
interval_binary_3gram_tfidf,Hierarchical,<0.001,2,125,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
interval_binary_3gram_tfidf,Hierarchical,<0.001,3,102,0.918,Chromatin & Development,66.67,Multifunctional DOF Regulation,33.33,Inflorescence Development,0.0
interval_binary_3gram_tfidf,Hierarchical,<0.001,4,123,1.02,Chromatin & Development,58.97,Multifunctional DOF Regulation,40.54,Vascular Development,0.25
interval_binary_combined_tfidf,KMeans,<0.001,0,22637,1.712,Multifunctional DOF Regulation,50.77,Chromatin & Development,36.78,Vascular Development,5.4
interval_binary_combined_tfidf,KMeans,<0.001,1,3205,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
interval_binary_combined_tfidf,KMeans,<0.001,2,1678,0.706,Chromatin & Development,80.78,Multifunctional DOF Regulation,19.22,Inflorescence Development,0.0
interval_binary_combined_tfidf,KMeans,<0.001,3,2164,0.608,Chromatin & Development,85.17,Multifunctional DOF Regulation,14.81,Vascular Development,0.02
interval_binary_combined_tfidf,KMeans,<0.001,4,1611,0.298,Multifunctional DOF Regulation,94.97,Chromatin & Development,4.87,Vascular Development,0.16
interval_binary_combined_tfidf,Hierarchical,<0.001,0,2047,0.121,Multifunctional DOF Regulation,98.52,Vascular Development,1.21,Chromatin & Development,0.27
interval_binary_combined_tfidf,Hierarchical,<0.001,1,23638,1.68,Multifunctional DOF Regulation,48.14,Chromatin & Development,40.42,Vascular Development,4.91
interval_binary_combined_tfidf,Hierarchical,<0.001,2,1210,0.0,Chromatin & Development,100.0,Inflorescence Development,0.0,Circadian & Flowering,0.0
interval_binary_combined_tfidf,Hierarchical,<0.001,3,3205,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
interval_binary_combined_tfidf,Hierarchical,<0.001,4,1195,0.0,Chromatin & Development,100.0,Inflorescence Development,0.0,Circadian & Flowering,0.0
strand_interval_count_1gram_tfidf,KMeans,<0.001,0,16158,2.46,Multifunctional DOF Regulation,36.43,Chromatin & Development,32.3,Vascular Development,11.0
strand_interval_count_1gram_tfidf,KMeans,<0.001,1,3826,1.315,Chromatin & Development,64.25,Multifunctional DOF Regulation,29.36,Vascular Development,3.0
strand_interval_count_1gram_tfidf,KMeans,<0.001,2,2443,1.309,Chromatin & Development,59.45,Multifunctional DOF Regulation,35.27,Vascular Development,2.6
strand_interval_count_1gram_tfidf,KMeans,<0.001,3,4350,0.986,Multifunctional DOF Regulation,77.74,Chromatin & Development,18.41,Vascular Development,2.18
strand_interval_count_1gram_tfidf,KMeans,<0.001,4,4518,0.993,Multifunctional DOF Regulation,78.1,Chromatin & Development,17.24,Vascular Development,2.99
strand_interval_count_1gram_tfidf,Hierarchical,<0.001,0,6135,1.305,Multifunctional DOF Regulation,48.27,Chromatin & Development,44.78,Vascular Development,6.82
strand_interval_count_1gram_tfidf,Hierarchical,<0.001,1,6057,1.188,Multifunctional DOF Regulation,50.57,Chromatin & Development,46.21,Vascular Development,2.98
strand_interval_count_1gram_tfidf,Hierarchical,<0.001,2,15054,2.424,Multifunctional DOF Regulation,39.47,Chromatin & Development,30.78,Inflorescence Development,9.72
strand_interval_count_1gram_tfidf,Hierarchical,<0.001,3,2206,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
strand_interval_count_1gram_tfidf,Hierarchical,<0.001,4,1843,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
strand_interval_count_2gram_tfidf,KMeans,<0.001,0,26967,1.622,Multifunctional DOF Regulation,49.41,Chromatin & Development,40.97,Vascular Development,2.81
strand_interval_count_2gram_tfidf,KMeans,<0.001,1,1016,1.603,Multifunctional DOF Regulation,50.68,Vascular Development,26.06,Chromatin & Development,21.79
strand_interval_count_2gram_tfidf,KMeans,<0.001,2,982,0.895,Multifunctional DOF Regulation,78.59,Chromatin & Development,19.25,Vascular Development,0.76
strand_interval_count_2gram_tfidf,KMeans,<0.001,3,1186,0.833,Multifunctional DOF Regulation,81.51,Chromatin & Development,16.43,Vascular Development,0.86
strand_interval_count_2gram_tfidf,KMeans,<0.001,4,1144,1.022,Chromatin & Development,72.66,Multifunctional DOF Regulation,24.74,Vascular Development,0.88
strand_interval_count_2gram_tfidf,Hierarchical,<0.001,0,29965,1.591,Multifunctional DOF Regulation,52.21,Chromatin & Development,38.01,Vascular Development,4.25
strand_interval_count_2gram_tfidf,Hierarchical,<0.001,1,266,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
strand_interval_count_2gram_tfidf,Hierarchical,<0.001,2,359,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
strand_interval_count_2gram_tfidf,Hierarchical,<0.001,3,346,0.0,Chromatin & Development,100.0,Inflorescence Development,0.0,Circadian & Flowering,0.0
strand_interval_count_2gram_tfidf,Hierarchical,<0.001,4,359,0.0,Chromatin & Development,100.0,Inflorescence Development,0.0,Circadian & Flowering,0.0
strand_interval_count_3gram_tfidf,KMeans,<0.001,0,31070,1.579,Multifunctional DOF Regulation,51.59,Chromatin & Development,38.98,Vascular Development,4.07
strand_interval_count_3gram_tfidf,KMeans,<0.001,1,8,1.087,Multifunctional DOF Regulation,61.9,Chromatin & Development,35.71,Circadian & Flowering,2.38
strand_interval_count_3gram_tfidf,KMeans,<0.001,2,57,0.72,Multifunctional DOF Regulation,84.67,Chromatin & Development,13.79,Biotic Response & Defense,0.38
strand_interval_count_3gram_tfidf,KMeans,<0.001,3,57,1.416,Chromatin & Development,47.77,Multifunctional DOF Regulation,41.92,Vascular Development,9.62
strand_interval_count_3gram_tfidf,KMeans,<0.001,4,103,0.822,Multifunctional DOF Regulation,81.96,Chromatin & Development,15.74,Circadian & Flowering,0.96
strand_interval_count_3gram_tfidf,Hierarchical,<0.001,0,144,0.563,Multifunctional DOF Regulation,90.44,Chromatin & Development,7.68,Vascular Development,0.68
strand_interval_count_3gram_tfidf,Hierarchical,<0.001,1,30943,1.582,Multifunctional DOF Regulation,51.37,Chromatin & Development,39.13,Vascular Development,4.13
strand_interval_count_3gram_tfidf,Hierarchical,<0.001,2,114,1.275,Multifunctional DOF Regulation,60.93,Chromatin & Development,34.82,Vascular Development,1.16
strand_interval_count_3gram_tfidf,Hierarchical,<0.001,3,39,0.918,Chromatin & Development,66.67,Multifunctional DOF Regulation,33.33,Inflorescence Development,0.0
strand_interval_count_3gram_tfidf,Hierarchical,<0.001,4,55,0.128,Multifunctional DOF Regulation,98.48,Vascular Development,1.02,Chromatin & Development,0.51
strand_interval_count_combined_tfidf,KMeans,<0.001,0,24451,1.69,Multifunctional DOF Regulation,47.25,Chromatin & Development,41.23,Vascular Development,4.82
strand_interval_count_combined_tfidf,KMeans,<0.001,1,1841,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
strand_interval_count_combined_tfidf,KMeans,<0.001,2,1629,0.981,Chromatin & Development,75.43,Multifunctional DOF Regulation,21.92,Vascular Development,1.04
strand_interval_count_combined_tfidf,KMeans,<0.001,3,1606,0.866,Multifunctional DOF Regulation,82.73,Chromatin & Development,12.61,Vascular Development,3.67
strand_interval_count_combined_tfidf,KMeans,<0.001,4,1768,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
strand_interval_count_combined_tfidf,Hierarchical,<0.001,0,26729,1.621,Multifunctional DOF Regulation,50.62,Chromatin & Development,39.08,Vascular Development,4.48
strand_interval_count_combined_tfidf,Hierarchical,<0.001,1,623,0.0,Chromatin & Development,100.0,Inflorescence Development,0.0,Circadian & Flowering,0.0
strand_interval_count_combined_tfidf,Hierarchical,<0.001,2,1629,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
strand_interval_count_combined_tfidf,Hierarchical,<0.001,3,1727,0.03,Multifunctional DOF Regulation,99.69,Chromatin & Development,0.31,Inflorescence Development,0.0
strand_interval_count_combined_tfidf,Hierarchical,<0.001,4,587,0.0,Chromatin & Development,100.0,Inflorescence Development,0.0,Circadian & Flowering,0.0
strand_interval_binary_1gram_tfidf,KMeans,<0.001,0,4056,1.351,Chromatin & Development,57.59,Multifunctional DOF Regulation,36.49,Vascular Development,2.39
strand_interval_binary_1gram_tfidf,KMeans,<0.001,1,3552,0.549,Multifunctional DOF Regulation,91.12,Chromatin & Development,5.25,Vascular Development,3.02
strand_interval_binary_1gram_tfidf,KMeans,<0.001,2,15455,2.538,Multifunctional DOF Regulation,47.75,Chromatin & Development,14.06,Vascular Development,12.52
strand_interval_binary_1gram_tfidf,KMeans,<0.001,3,3586,0.663,Multifunctional DOF Regulation,87.48,Chromatin & Development,10.02,Vascular Development,1.79
strand_interval_binary_1gram_tfidf,KMeans,<0.001,4,4646,1.384,Chromatin & Development,55.24,Multifunctional DOF Regulation,38.26,Vascular Development,3.7
strand_interval_binary_1gram_tfidf,Hierarchical,<0.001,0,5895,1.299,Multifunctional DOF Regulation,49.02,Chromatin & Development,43.78,Vascular Development,7.19
strand_interval_binary_1gram_tfidf,Hierarchical,<0.001,1,6221,1.155,Multifunctional DOF Regulation,49.95,Chromatin & Development,47.28,Vascular Development,2.78
strand_interval_binary_1gram_tfidf,Hierarchical,<0.001,2,1843,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
strand_interval_binary_1gram_tfidf,Hierarchical,<0.001,3,2206,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
strand_interval_binary_1gram_tfidf,Hierarchical,<0.001,4,15130,2.395,Multifunctional DOF Regulation,39.79,Chromatin & Development,31.43,Inflorescence Development,9.35
strand_interval_binary_2gram_tfidf,KMeans,<0.001,0,27407,1.65,Multifunctional DOF Regulation,54.85,Chromatin & Development,33.74,Vascular Development,4.85
strand_interval_binary_2gram_tfidf,KMeans,<0.001,1,1129,0.722,Multifunctional DOF Regulation,85.79,Chromatin & Development,11.98,Vascular Development,1.35
strand_interval_binary_2gram_tfidf,KMeans,<0.001,2,826,1.157,Chromatin & Development,67.03,Multifunctional DOF Regulation,29.22,Vascular Development,1.99
strand_interval_binary_2gram_tfidf,KMeans,<0.001,3,1031,1.034,Chromatin & Development,71.97,Multifunctional DOF Regulation,25.31,Vascular Development,1.29
strand_interval_binary_2gram_tfidf,KMeans,<0.001,4,902,1.143,Chromatin & Development,66.47,Multifunctional DOF Regulation,30.06,Vascular Development,1.98
strand_interval_binary_2gram_tfidf,Hierarchical,<0.001,0,29965,1.591,Multifunctional DOF Regulation,52.21,Chromatin & Development,38.01,Vascular Development,4.25
strand_interval_binary_2gram_tfidf,Hierarchical,<0.001,1,359,0.0,Chromatin & Development,100.0,Inflorescence Development,0.0,Circadian & Flowering,0.0
strand_interval_binary_2gram_tfidf,Hierarchical,<0.001,2,359,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
strand_interval_binary_2gram_tfidf,Hierarchical,<0.001,3,346,0.0,Chromatin & Development,100.0,Inflorescence Development,0.0,Circadian & Flowering,0.0
strand_interval_binary_2gram_tfidf,Hierarchical,<0.001,4,266,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
strand_interval_binary_3gram_tfidf,KMeans,<0.001,0,31070,1.579,Multifunctional DOF Regulation,51.59,Chromatin & Development,38.98,Vascular Development,4.07
strand_interval_binary_3gram_tfidf,KMeans,<0.001,1,8,1.087,Multifunctional DOF Regulation,61.9,Chromatin & Development,35.71,Circadian & Flowering,2.38
strand_interval_binary_3gram_tfidf,KMeans,<0.001,2,57,0.72,Multifunctional DOF Regulation,84.67,Chromatin & Development,13.79,Biotic Response & Defense,0.38
strand_interval_binary_3gram_tfidf,KMeans,<0.001,3,57,1.416,Chromatin & Development,47.77,Multifunctional DOF Regulation,41.92,Vascular Development,9.62
strand_interval_binary_3gram_tfidf,KMeans,<0.001,4,103,0.822,Multifunctional DOF Regulation,81.96,Chromatin & Development,15.74,Circadian & Flowering,0.96
strand_interval_binary_3gram_tfidf,Hierarchical,<0.001,0,147,0.615,Multifunctional DOF Regulation,89.14,Chromatin & Development,8.75,Vascular Development,0.97
strand_interval_binary_3gram_tfidf,Hierarchical,<0.001,1,30941,1.582,Multifunctional DOF Regulation,51.37,Chromatin & Development,39.14,Vascular Development,4.13
strand_interval_binary_3gram_tfidf,Hierarchical,<0.001,2,114,1.275,Multifunctional DOF Regulation,60.93,Chromatin & Development,34.82,Vascular Development,1.16
strand_interval_binary_3gram_tfidf,Hierarchical,<0.001,3,39,0.918,Chromatin & Development,66.67,Multifunctional DOF Regulation,33.33,Inflorescence Development,0.0
strand_interval_binary_3gram_tfidf,Hierarchical,<0.001,4,54,0.084,Multifunctional DOF Regulation,98.95,Vascular Development,1.05,Inflorescence Development,0.0
strand_interval_binary_combined_tfidf,KMeans,<0.001,0,26031,1.63,Multifunctional DOF Regulation,51.97,Chromatin & Development,37.4,Vascular Development,4.63
strand_interval_binary_combined_tfidf,KMeans,<0.001,1,1629,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
strand_interval_binary_combined_tfidf,KMeans,<0.001,2,1145,0.717,Chromatin & Development,84.57,Multifunctional DOF Regulation,13.89,Circadian & Flowering,0.59
strand_interval_binary_combined_tfidf,KMeans,<0.001,3,1576,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
strand_interval_binary_combined_tfidf,KMeans,<0.001,4,914,0.707,Chromatin & Development,81.0,Multifunctional DOF Regulation,18.95,Vascular Development,0.06
strand_interval_binary_combined_tfidf,Hierarchical,<0.001,0,1232,0.0,Chromatin & Development,100.0,Inflorescence Development,0.0,Circadian & Flowering,0.0
strand_interval_binary_combined_tfidf,Hierarchical,<0.001,1,26235,1.621,Multifunctional DOF Regulation,51.79,Chromatin & Development,37.81,Vascular Development,4.52
strand_interval_binary_combined_tfidf,Hierarchical,<0.001,2,1576,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
strand_interval_binary_combined_tfidf,Hierarchical,<0.001,3,1629,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
strand_interval_binary_combined_tfidf,Hierarchical,<0.001,4,623,0.0,Chromatin & Development,100.0,Inflorescence Development,0.0,Circadian & Flowering,0.0
