Representation,Method,Chi-square p,Cluster,Cluster Size (ACRs),Shannon Diversity Index,Top Function 1,Top 1 (%),Top Function 2,Top 2 (%),Top Function 3,Top 3 (%)
count_3gram_tfidf,KMeans,<0.001,3,654,1.227,Chromatin & Development,55.04,Multifunctional DOF Regulation,41.7,Vascular Development,1.56
count_3gram_tfidf,KMeans,<0.001,4,715,0.804,Multifunctional DOF Regulation,82.75,Chromatin & Development,14.84,Vascular Development,1.34
count_3gram_tfidf,Hierarchical,<0.001,0,759,1.041,Chromatin & Development,53.25,Multifunctional DOF Regulation,46.28,Vascular Development,0.3
count_3gram_tfidf,Hierarchical,<0.001,1,470,0.539,Multifunctional DOF Regulation,90.69,Chromatin & Development,7.52,Vascular Development,1.29
count_3gram_tfidf,Hierarchical,<0.001,2,29608,1.632,Multifunctional DOF Regulation,49.28,Chromatin & Development,40.29,Vascular Development,4.51
count_3gram_tfidf,Hierarchical,<0.001,3,252,0.273,Multifunctional DOF Regulation,96.13,Chromatin & Development,3.29,Vascular Development,0.19
count_3gram_tfidf,Hierarchical,<0.001,4,206,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
count_combined_tfidf,KMeans,<0.001,0,4119,1.107,Chromatin & Development,68.37,Multifunctional DOF Regulation,28.52,Vascular Development,1.42
count_combined_tfidf,KMeans,<0.001,1,15567,2.434,Multifunctional DOF Regulation,42.07,Chromatin & Development,27.96,Inflorescence Development,7.44
count_combined_tfidf,KMeans,<0.001,2,4099,0.085,Multifunctional DOF Regulation,98.99,Chromatin & Development,0.96,Inflorescence Development,0.04
count_combined_tfidf,KMeans,<0.001,3,4216,1.093,Multifunctional DOF Regulation,76.16,Chromatin & Development,15.0,Vascular Development,7.64
count_combined_tfidf,KMeans,<0.001,4,3294,1.141,Chromatin & Development,63.5,Multifunctional DOF Regulation,33.79,Vascular Development,1.25
count_combined_tfidf,Hierarchical,<0.001,0,11063,1.511,Chromatin & Development,45.54,Multifunctional DOF Regulation,44.88,Vascular Development,5.25
count_combined_tfidf,Hierarchical,<0.001,1,4115,0.047,Multifunctional DOF Regulation,99.54,Chromatin & Development,0.39,Biotic Response & Defense,0.02
count_combined_tfidf,Hierarchical,<0.001,2,13123,2.816,Multifunctional DOF Regulation,33.99,Chromatin & Development,24.4,Telomere Regulation,11.03
count_combined_tfidf,Hierarchical,<0.001,3,1777,0.059,Multifunctional DOF Regulation,99.39,Chromatin & Development,0.45,Vascular Development,0.16
count_combined_tfidf,Hierarchical,<0.001,4,1217,0.0,Chromatin & Development,100.0,Inflorescence Development,0.0,Circadian & Flowering,0.0
binary_1gram_tfidf,KMeans,<0.001,0,13915,3.032,Multifunctional DOF Regulation,33.64,Chromatin & Development,15.52,Inflorescence Development,13.08
binary_1gram_tfidf,KMeans,<0.001,1,4049,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
