Representation,Method,Clusters,Largest Cluster,Smallest Cluster,Silhouette,Calinski-Harabasz,Davies-Bouldin,ARI Stability
kmer_3,KMeans,5,7574,2714,0.07597871881494744,3669.0116254150716,2.4807524071755362,0.9541227417274228
kmer_3,Hierarchical,5,9116,3618,0.028335535598476895,2862.052027953956,2.8380595826045747,
kmer_5,KMeans,5,9860,491,0.00997153492505699,697.8680600110954,4.848009180116689,0.9854100639331584
kmer_5,Hierarchical,5,12161,419,-0.0022409521090549058,514.4133056971891,5.55194100397481,
kmer_7,KMeans,5,11135,476,-0.00073777014818991,152.44915946293608,9.69565542348306,0.807284323187331
kmer_7,Hierarchical,5,12868,149,-0.004933539736495372,121.68976390508892,11.01753948455956,
