Representation,Method,Clusters,Largest Cluster,Smallest Cluster,Silhouette,Calinski-Harabasz,Davies-Bouldin,ARI Stability
strand_binary_1gram_tfidf,KMeans,5,15455,3552,0.42306005142791975,4882.224655558817,1.651610065909114,0.8759660267446567
strand_binary_1gram_tfidf,Hierarchical,5,15130,1843,0.41347429516184675,3959.768581349674,1.8302239676180196,
strand_binary_2gram_tfidf,KMeans,5,26494,746,0.43909937013611944,1138.2452522275246,1.941794713880082,0.5306941849452057
strand_binary_2gram_tfidf,Hierarchical,5,27795,348,0.42189498928886815,884.0813440271206,1.999779471790088,
strand_binary_3gram_tfidf,KMeans,5,30487,41,0.5843102887245998,228.7359337694175,2.3968331248105956,0.30653421019461313
strand_binary_3gram_tfidf,Hierarchical,5,30726,58,0.5828509702330351,229.0873292235022,1.6314145799616155,
strand_binary_combined_tfidf,KMeans,5,24500,1576,0.33624252172334856,2138.965053176022,1.7379596778596405,0.5933130920138591
strand_binary_combined_tfidf,Hierarchical,5,16770,1576,0.35838034492685306,2074.83025756894,2.8784858925533308,
interval_count_1gram_tfidf,KMeans,5,13754,3188,0.5610210545280319,11365.291068933495,1.108720352658563,0.9928288803966877
interval_count_1gram_tfidf,Hierarchical,5,13214,3682,0.5252017700142156,8487.20595922755,1.490702595595622,
interval_count_2gram_tfidf,KMeans,5,24547,1315,0.47851166414373225,2124.0497375620594,1.7295171390233945,0.7330519470010779
interval_count_2gram_tfidf,Hierarchical,5,28420,399,0.4431416031186673,1624.7377932497764,0.7841960396427197,
interval_count_3gram_tfidf,KMeans,5,30396,87,0.5887243119856812,377.06473444187736,1.679182859376477,0.41538654271124437
interval_count_3gram_tfidf,Hierarchical,5,30769,102,0.5872802241103257,416.3804446040468,0.6417559465397165,
interval_count_combined_tfidf,KMeans,5,18995,2185,0.3892306594154545,3244.7888682867633,1.9004782271526561,0.9483591269288589
interval_count_combined_tfidf,Hierarchical,5,23727,1195,0.36489606110543515,2915.5587896954567,1.3394718838270945,
